English,Portuguese,Inupiaq,initial_presentation_cycles.thisRepN,initial_presentation_cycles.thisTrialN,initial_presentation_cycles.thisN,initial_presentation_cycles.thisIndex,initial_presentation_trials.thisRepN,initial_presentation_trials.thisTrialN,initial_presentation_trials.thisN,initial_presentation_trials.thisIndex,practice_phase_blocks.thisRepN,practice_phase_blocks.thisTrialN,practice_phase_blocks.thisN,practice_phase_blocks.thisIndex,practice_phase_cycles.thisRepN,practice_phase_cycles.thisTrialN,practice_phase_cycles.thisN,practice_phase_cycles.thisIndex,practice_phase_trials.thisRepN,practice_phase_trials.thisTrialN,practice_phase_trials.thisN,practice_phase_trials.thisIndex,instr_msg.started,instr_resp.started,instr_resp.keys,instr_resp.rt,cue_practice.started,target_practice.started,key_practice.started,condition_name.started,key_practice.keys,key_practice.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,22.418528299999934,22.418528299999934,space,139.14154150000013,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
heaven,paraíso,qixak,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
kidney,rim,taqtu,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
duck,pato,mitiq,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
snail,lesma,uvixu,0,0,0,0,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
dust,pó,apyuq,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
tea,chá,saiyu,0,0,0,0,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
mark,marca,aglak,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
thread,fio,ivalu,0,0,0,0,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
sled,trenó,uniat,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
boot,bota,kamik,0,0,0,0,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
rainbow,arco-íris,nigaq,0,0,0,0,0,10,10,7,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
cliff,penhasco,ikpik,0,0,0,0,0,11,11,1,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
heaven,paraíso,qixak,1,0,1,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
kidney,rim,taqtu,1,0,1,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
duck,pato,mitiq,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
snail,lesma,uvixu,1,0,1,0,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
dust,pó,apyuq,1,0,1,0,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
tea,chá,saiyu,1,0,1,0,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
mark,marca,aglak,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
thread,fio,ivalu,1,0,1,0,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
sled,trenó,uniat,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
boot,bota,kamik,1,0,1,0,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
rainbow,arco-íris,nigaq,1,0,1,0,0,10,10,7,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
cliff,penhasco,ikpik,1,0,1,0,0,11,11,1,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
heaven,paraíso,qixak,2,0,2,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_10h12.02.093,finley_et_al,2022.2.1,59.93823963789131,
